歌,カ,うた・うた（う）
画,ガ・カク,-
回,カイ,まわ（る）・まわ（す）
会,カイ・エ,あ（う）
海,カイ,うみ
絵,カイ・エ,-
外,ガイ・ゲ,そと・ほか・はず（す）・はず（れる）
角,カク,かど・つの
楽,ラク・ガク,たの（しい）・たの（しむ）
活,カツ,-
間,カン・ケン,あいだ・ま
丸,ガン,まる・まる（い）
岩,ガン,いわ
顔,ガン,かお
汽,キ,-
記,キ,しる（す）
帰,キ,かえ（る）・かえ（す）
弓,キュウ,ゆみ
牛,ギュウ,うし
魚,ギョ,うお・さかな
京,キョウ・ケイ・キン,-
強,キョウ・ゴウ,つよ（い）・つよ（まる）・つよ（める）・し（いる）
教,キョウ,おし（える）・教（わる）
近,キン,ちか（い）
兄,ケイ・キョウ,あに
形,ケイ・ギョウ,かた・かたち
計,ケイ,はか（る）・はか（らう）
元,ゲン・ガン,もと
言,ゲン・ゴン,い（う）・こと
原,ゲン,はら
戸,コ,と
古,コ,ふる（い）・ふる（す）
午,ゴ,-
後,ゴ・コウ,のち・うしろ・あと・おく（れる）
語,ゴ,かた（る）・かた（らう）
公,コウ,おおやけ
高,コウ,たか（い）・たか・たか（まる）・たか（める）
黄,コウ・オウ,き・こ
合,ゴウ・ガッ・カッ,あ（う）・あ（わす）・あ（わせる）
谷,コク,たに
国,コク,くに
黒,コク,くろ・くろ（い）
今,コン・キン,いま
才,サイ,-
細,サイ,ほそ（い）・ほそ（る）・こま（か）・こま（かい）
作,サク・サ,つく（る）
算,サン,-
止,シ,と（まる）・と（める）
市,シ,いち
矢,シ,や
姉,シ,あね
思,シ,おも（う）
紙,シ,かみ
寺,ジ,てら
自,ジ・シ,みずか（ら）
時,ジ,とき
室,シツ,むろ
社,シャ,やしろ
弱,ジャク,よわ（い）・よわ（る）・よわ（まる）・よわ（める）
首,シュ,くび
秋,シュウ,あき
週,シュウ,-
春,シュン,はる
書,ショ,か（く）
少,ショウ,すく（ない）・すこ（し）
場,ジョウ,ば
食,ショク・ジキ,く（う）・く（らう）・た（べる）
新,シン,あたら（しい）・あら（た）・にい
親,シン,おや・した（しい）・した（しむ）
図,ズ・ト,はか（る）
数,スウ・ス,かず・かぞ（える）
西,セイ・サイ,にし
声,セイ・ショウ,こえ・こわ
青,セイ・ショウ,あお・あお（い）
晴,セイ,は（れる）・は（らす）
切,セツ・サイ,き（る）・き（れる）
雪,セツ,ゆき
船,セン,ふね・ふな
線,セン,-
前,ゼン,まえ
組,ソ,く（む）・くみ
走,ソウ,はし（る）
多,タ,おお（い）
太,タイ・タ,ふと（い）・ふと（る）
体,タイ・テイ,からだ
台,ダイ・タイ,-
地,チ・ジ,-
池,チ,いけ
知,チ,し（る）
茶,チャ・サ,-
昼,チュウ,ひる
長,チョウ,なが（い）
鳥,チョウ,とり
朝,チョウ,あさ
直,チョク・ジキ,ただ（ちに）・なお（す）・なお（る）
通,ツウ・ツ,とお（る）・とお（す）・かよ（う）
弟,テイ・ダイ・デ,おとうと
店,テン,みせ
点,テン,つ（く）・つ（ける）・ぼち
電,デン,-
刀,トウ,かたな
当,トウ,あ（たる）・あ（てる）
東,トウ,ひがし
答,トウ,こた（える）・こた（え）
頭,トウ・ズ・ト,あたま・かしら
同,ドウ,おな（じ）
道,ドウ・トウ,みち
読,ドク・トク・トウ,よ（む）
南,ナン・ナ,みなみ
肉,ニク,-
馬,バ,うま・ま
売,バイ,う（る）・う（れる）
買,バイ,か（う）
麦,バク,むぎ
半,ハン,なか（ば）
番,バン,-
父,フ,ちち
風,フウ・フ,かぜ・かざ
分,ブン・フン・ブ,わ（ける）・わ（かれる）・わ（かる）・わ（かつ）
文,ブン・モン,ふみ
聞,ブン・モン,き（く）・き（こえる）
米,ベイ・マイ,こめ・よね
歩,ホ・ブ・フ,ある（く）・あゆ（む）
母,ボ,はは
方,ホウ,かた
北,ホク,きた
毎,マイ,-
妹,マイ,いもうと
万,マン・バン,-
明,メイ・ミョウ,あ（かり）・あか（るい）・あか（るむ）・あき（らか）・あ（く）・あ（ける）・あ（やめる）
鳴,メイ,な（く）・な（る）・な（らす）
毛,モウ,け
門,モン,かど
夜,ヤ,よ・よる
野,ヤ,の
薬,ヤク,くすり
曜,ヨウ,-
用,ヨウ,もち（いる）
来,ライ,く（る）・きた（る）・きた（す）
理,リ,-
里,リ,さと
話,ワ,はな（す）・はなし
悪,アク・オ,わる（い）
安,アン,やす（い）・やす（まる）・やす（らか）
暗,アン,くら（い）
医,イ,-
委,イ,ゆだ（ねる）
意,イ,-
育,イク,そだ（つ）・そだ（てる）
員,イン,-
院,イン,-
飲,イン,の（む）
運,ウン,はこ（ぶ）
泳,エイ,およ（ぐ）
駅,エキ,-
央,オウ,-
横,オウ,よこ
屋,オク,や
温,オン,あたた（か）・あたた（かい）・あたた（まる）・あたた（める）
化,カ・ケ,ば（ける）・ば（かす）
荷,カ,に
画,ガ・カク,-
界,カイ,-
階,カイ,-
寒,カン,さむ（い）
感,カン,-
漢,カン,-
館,カン,やか
岸,ガン,きし
起,キ,お（きる）・お（こす）・お（こる）
期,キ・ゴ,-
客,キャク・カク,-
究,キュウ,きわ（める）
急,キュウ,急（ぐ）
級,キュウ,-
宮,キュウ・グウ・ク,みや
球,キュウ,たま
去,キョ・コ,さ（る）
橋,キョウ,はし
業,ギョウ・ゴウ,わざ
曲,キョク,ま（がる）・ま（げる）
局,キョク,-
銀,ギン,-
区,ク,-
苦,ク,くる（しい）・くる（しむ）・くる（しめる）・にが（い）・にが（る）
具,グ,つぶさ（に）
君,クン,きみ
係,ケイ,かか（る）・かかり
軽,ケイ,かる（い）・かろ（やか）
血,ケツ,ち
決,ケツ,き（まる）・き（める）
研,ケン,と（ぐ）
県,ケン,-
庫,コ・ク,-
湖,コ,みずうみ
向,コウ,む（く）・む（ける）・む（かう）・む（こう）
幸,コウ,さいわ（い）・さち・しあわ（せ）
港,コウ,みなと
号,ゴウ,-
根,コン,ね
祭,サイ,まつ（る）・まつ（り）
皿,ベイ,さら
仕,シ・ジ,つか（える）
死,シ,し（ぬ）
使,シ,つか（う）
始,シ,はじ（まる）・はじ（める）
指,シ,ゆび・さ（す）
事,ジ・ズ,こと
持,ジ,も（つ）
時,ジ,とき
次,ジ・シ,つぎ・つ（ぐ）
暑,ショ,あつ（い）
署,ショ,-
諸,ショ,-
助,ジョ,たす（ける）・たす（かる）・すけ
昭,ショウ,-
消,ショウ,き（える）・け（す）
商,ショウ,あきな（う）
章,ショウ,-
勝,ショウ,か（つ）・まさ（る）
乗,ジョウ,の（る）・の（せる）
植,ショク,う（える）・う（わる）
申,シン,もう（す）
神,シン・ジン,かみ・かん・こう
身,シン,み
進,シン,すす（む）・すす（める）
針,シン,はり
深,シン,ふか（い）・ふか（まる）・ふか（める）
真,シン,ま
漢字,音読み,訓読み
世,セイ・セ,よ
整,セイ,ととの（える）・ととの（う）
昔,セキ・シャク,むかし
全,ゼン,まった（く）・すべ（て）
相,ソウ・ショウ,あい
送,ソウ,おく（る）
想,ソウ・ソ,-
息,ソク,いき
速,ソク,はや（い）・はや（まる）・はや（める）・すみ（やか）
族,ゾク,-
他,タ,ほか
打,ダ,う（つ）
対,タイ・ツイ,-
待,タイ,ま（つ）
代,ダイ・タイ,よ・しろ・か（わる）・か（える）
第,ダイ,-
題,ダイ,-
炭,タン,すみ
短,タン,みじか（い）
談,ダン,-
着,チャク・ジャク,き（る）・き（せる）・つ（く）・つ（ける）
注,チュウ,そそ（ぐ）
柱,チュウ,はしら
帳,チョウ,-
調,チョウ,しら（べる）・ととの（う）・ととの（える）
庁,チョウ,-
追,ツイ,お（う）
痛,ツウ,いた（い）・いた（む）・いた（める）・いた（ましい）
定,テイ・ジョウ,さだ（める）・さだ（まる）・さだ（か）
庭,テイ,にわ
笛,テキ,ふえ
鉄,テツ,-
転,テン,ころ（がる）・ころ（げる）・ころ（がす）・ころ（ぶ）
登,トウ・ト,のぼ（る）
都,ト・ツ,みやこ
度,ド・ト・タク,たび
投,トウ,な（げる）
島,トウ,しま
湯,トウ,ゆ
等,トウ,ひと（しい）・など
豆,トウ・ズ,まめ
動,ドウ,うご（く）・うご（かす）
童,ドウ,わらべ
道,ドウ・トウ,みち
特,トク,-
得,トク,え（る）・う（る）
独,ドク,ひと（り）
内,ナイ・ダイ,うち
発,ハツ・ホツ,-
倍,バイ,-
箱,ソウ,はこ
畑,-,はた・はたけ
発,ハツ・ホツ,-
反,ハン・ホン・タン,そ（る）・そ（らす）
坂,ハン,さか
板,ハン・バン,いた
皮,ヒ,かわ
悲,ヒ,かな（しい）・かな（しむ）
美,ビ,うつく（しい）
鼻,ビ,はな
筆,ヒツ,ふで
氷,ヒョウ,こおり・ひ
表,ヒョウ,おもて・あらわ（す）・あらわ（れる）
病,ビョウ・ヘイ,や（む）・やまい
秒,ビョウ,-
品,ヒン,しな
夫,フ・フウ,おっと
付,フ,つ（ける）・つ（く）
府,フ,-
父,フ,ちち
部,ブ,-
服,フク,-
福,フク,-
物,ブツ・モツ,もの
平,ヘイ・ビョウ,たい（ら）・ひら
へん,ヘン,あた（り）・か（わる）・か（える）
便,ベン・ビン,たよ（り）
勉,ベン,-
放,ホウ,はな（す）・はな（つ）・はな（れる）・ほう（る）
方,ホウ,かた
法,ホウ・ハッ・ホッ,-
抱,ホウ,だ（く）・いだ（く）・かか（える）
放,ホウ,はな（す）・はな（つ）・はな（れる）・ほう（る）
味,ミ,あじ・あじ（わう）
命,メイ・ミョウ,いのち
面,メン,おも・おもて・つら
問,モン,と（う）・と（い）
役,ヤク・エキ,-
薬,ヤク,くすり
由,ユ・ユウ・ユイ,よし
油,ユ,あぶら
有,ユウ・ウ,あ（る）
遊,ユウ・ユ,あそ（ぶ）
予,ヨ,-
羊,ヨウ,ひつじ
洋,ヨウ,-
葉,ヨウ,は
陽,ヨウ,-
様,ヨウ,さま
落,ラク,お（ちる）・お（とす）
流,リュウ・ル,なが（れる）・なが（す）
旅,リョ,たび
両,リョウ,-
緑,リョク・ロク,みどり
礼,レイ・ライ,-
列,レツ,-
練,レン,ね（る）
連,レン,つら（なる）・つら（ねる）・つ（れる）
老,ロウ,お（いる）・ふ（ける）
労,ロウ,-
録,ロク,-
和,ワ・オ・カ,やわ（らぐ）・やわ（らげる）・なご（む）・なご（やか）
愛,アイ,-
案,アン,-
以,イ,-
衣,イ,ころも
位,イ,くらい
囲,イ,かこ（む）・かこ（まれる）
胃,イ,-
印,イン,しるし
英,エイ,-
栄,エイ,さか（える）・は（え）・は（える）
塩,エン,しお
億,オク,-
加,カ,くわ（える）・くわ（わる）
果,カ,は（たす）・は（てる）・は（て）
貨,カ,-
課,カ,-
芽,ガ,め
改,カイ,あらた（める）・あらた（まる）
開,カイ,ひら（く）・ひら（ける）・あ（く）・あ（ける）
希,キ,-
気,キ・ケ,-
季,キ,-
記,キ,しる（す）
旗,キ,はた
器,キ,うつわ
機,キ,はた
求,キュウ,もと（める）
球,キュウ,たま
給,キュウ,たま（う）
救,キュウ,すく（う）
挙,キョ,あ（げる）・あ（がる）
漁,ギョ・リョウ,-
魚,ギョ,うお・さかな
共,キョウ,とも
協,キョウ,-
鏡,キョウ,かがみ
競,キョウ・ケイ,きそ（う）・くら（べる）
極,キョク・ゴク,きわ（める）・きわ（まる）
区,ク,-
苦,ク,くる（しい）・くる（しむ）・くる（しめる）・にが（い）・にが（る）
群,グン,む（れる）・む（ら）・むら（がる）
軍,グン,-
郡,グン,-
径,ケイ,-
型,ケイ,かた
景,ケイ・キョウ,-
芸,ゲイ,-
欠,ケツ,か（ける）・か（く）
結,ケツ,むす（ぶ）・ゆ（う）・ゆわ（える）
建,ケン・コン,た（てる）・た（つ）
健,ケン,すこ（やか）
験,ケン,-
固,コ,かた（まる）・かた（める）・かた（い）
功,コウ・ク,-
好,コウ,この（む）・す（く）
候,コウ,そうろう
航,コウ,-
康,コウ,-
告,コク,つ（げる）
穀,コク,-
差,サ,さ（す）
菜,サイ,な
最,サイ,もっと（も）
材,ザイ,-
昨,サク,-
札,サツ,ふだ
刷,サツ,す（る）
察,サツ,-
殺,サツ・サイ,ころ（す）
参,サン,まい（る）
産,サン,う（む）・う（まれる）・うぶ
散,サン,ち（る）・ち（らす）・ちら（かる）・ちら（かす）
残,ザン,のこ（る）・のこ（す）
司,シ,-
史,シ,-
使,シ,つか（う）
始,シ,はじ（まる）・はじ（める）
姉,シ,あね
試,シ,こころ（みる）・ため（す）
歯,シ,は
児,ジ・ニ,-
治,ジ・チ,おさ（める）・おさ（まる）・なお（る）・なお（す）
辞,ジ,や（める）
失,シツ,うしな（う）
借,シャク,か（りる）
種,シュ,たね
周,シュウ,まわ（り）
祝,シュク・シュウ,いわ（う）
順,ジュン,-
初,ショ,はじめ・はじ（めて）・うい
松,ショウ,まつ
笑,ショウ,わら（う）・え（む）
唱,ショウ,とな（える）
焼,ショウ,や（く）・や（ける）
象,ショウ・ゾウ,-
照,ショウ,て（る）・て（らす）・て（まえる）
賞,ショウ,-
臣,シン,-
信,シン,-
成,セイ・ジョウ,な（る）・な（す）
省,セイ・ショウ,かえり（みる）・はぶ（く）
清,セイ・ショウ,きよ（い）・きよ（まる）・きよ（める）
静,セイ・ジョウ,しず（か）・しず（まる）・しず（める）
席,セキ,-
積,セキ,つ（む）・つ（もる）
折,セツ,お（る）・おり・お（れる）
節,セツ・セチ,ふし
説,セツ・ゼイ,と（く）
浅,セン,あさ（い）
戦,セン,たたか（う）・いくさ
選,セン,えら（ぶ）
然,ゼン・ネン,-
争,ソウ,あらそ（う）
倉,ソウ,くら
巣,ソウ,す
束,ソク,たば・たば（ねる）
側,ソク,かわ
続,ゾク,つづ（く）・つづ（ける）
卒,ソツ,-
孫,ソン,まご
帯,タイ,おび・おび（る）
隊,タイ,-
達,タツ,-
単,タン,-
置,チ,お（く）
仲,チュウ,なか
貯,チョ,たくわ（える）
兆,チョウ,きざ（し）・きざ（す）
腸,チョウ,-
低,テイ,ひく（い）
底,テイ,そこ
停,テイ,-
的,テキ,まと
典,テン,-
伝,デン,つた（わる）・つた（える）・つた（う）
徒,ト,-
努,ド,つと（める）
灯,トウ,ひ
堂,ドウ,-
働,ドウ,はたら（く）
特,トク,-
得,トク,え（る）・う（る）
毒,ドク,-
独,ドク,ひと（り）
熱,ネツ,あつ（い）
念,ネン,-
敗,ハイ,やぶ（れる）
梅,バイ,うめ
博,ハク・バク,-
飯,ハン,めし
飛,ヒ,と（ぶ）・と（ばす）
費,ヒ,つい（やす）・つい（える）
必,ヒツ,かなら（ず）
票,ヒョウ,-
標,ヒョウ,-
不,フ・ブ,-
夫,フ・フウ,おっと
付,フ,つ（ける）・つ（く）
府,フ,-
副,フク,-
粉,フン,こな・こ
兵,ヘイ・ヒョウ,-
別,ベツ,わか（れる）
辺,ヘン,あた（り）
変,ヘン,か（わる）・か（え）
便,ベン・ビン,たよ（り）
包,ホウ,つつ（む）
法,ホウ・ハッ・ホッ,-
望,ボウ・モウ,のぞ（む）
牧,ボク,まき
末,マツ・バツ,すえ
満,マン,み（ちる）・み（たす）
未,ミ,-
民,ミン,-
無,ム・ブ,な（い）
約,ヤク,-
勇,ユウ,いさ（む）
要,ヨウ,い（る）
養,ヨウ,やしな（う）
浴,ヨク,あ（びる）・あ（びせる）
利,リ,き（く）
陸,リク,-
良,リョウ,よ（い）
料,リョウ,-
量,リョウ,はか（る）
輪,リン,わ
類,ルイ,-
令,レイ,-
冷,レイ,つめ（たい）・ひ（える）・ひ（やす）・さ（める）・さ（ます）
例,レイ,たと（える）
録,ロク,-
漢字,音読み,訓読み
因,イン,よ（る）
永,エイ,なが（い）
泳,エイ,およ（ぐ）
演,エン,-
応,オウ,こた（える）
往,オウ,-
桜,オウ,さくら
恩,オン,-
可,カ,-
仮,カ・ケ,かり
価,カ,あたい
河,カ,かわ
過,カ,す（ぎる）・す（ごす）・あやま（ち）・あやま（る）
賀,賀,-
快,カイ,こころよ（い）
解,カイ・ゲ,と（く）・と（ける）・と（かす）
格,カク・コウ,-
確,カク,たしか・たし（かめる）
額,ガク,ひたい
刊,カン,-
幹,カン,みき
慣,カン,な（れる）・な（らす）
眼,ガン・ゲン,め
基,キ,もと・もとい
寄,キ,よ（る）・よ（せる）
規,キ,-
技,ギ,わざ
義,ギ,-
逆,ギャク,さか・さか（らう）
久,キュウ・ク,ひさ（しい）
旧,キュウ,ふる（い）
居,キョ,い（る）
許,キョ,ゆる（す）
境,キョウ・ケイ,さかい
均,キン,-
禁,キン,-
句,ク,-
群,グン,む（れる）・む（ら）・むら（がる）
軍,グン,-
郡,グン,-
型,ケイ,かた
経,ケイ・キョウ,へ（る）・たていと
潔,ケツ,いさぎよ（い）
件,ケン,-
券,ケン,-
険,ケン,けわ（しい）
検,ケン,しら（べる）
限,ゲン,かぎ（る）
現,ゲン,あらわ（れる）・あらわ（す）
減,ゲン,へ（る）・へ（す）
故,コ,ゆえ
個,コ,-
護,ゴ,まも（る）
効,コウ,き（く）
厚,コウ,あつ（い）
耕,コウ,たがや（す）
鉱,コウ,-
構,コウ,かま（える）・かま（う）
興,コウ・キョウ,おこ（る）・おこ（す）
講,コウ,-
混,コン,ま（ざる）・ま（じる）・ま（ぜる）・こ（む）
査,サ,-
再,サイ・サ,ふたた（び）
災,サイ,わざわ（い）
妻,サイ,つま
採,サイ,と（る）
際,サイ,きわ
在,ザイ,あ（る）
財,ザイ・サイ,-
罪,ザイ,つみ
雑,ザツ・ゾウ,-
酸,サン,す（い）
賛,サン,-
支,シ,ささ（える）
志,シ,こころざ（す）・こころざし
枝,シ,えだ
師,シ,-
資,シ,-
飼,シ,か（う）
示,ジ・シ,しめ（す）
似,ジ,に（る）
児,ジ・ニ,-
事,ジ・ズ,こと
持,ジ,も（つ）
次,ジ・シ,つぎ・つ（ぐ）
識,シキ,-
実,ジツ,み・みの（る）
写,シャ,うつ（す）・うつ（る）
謝,シャ,あやま（る）
守,シュ・ス,まも（る）・もり
授,ジュ,さず（ける）・さず（かる）
収,シュウ,おさ（める）・おさ（まる）
修,シュウ・シュ,おさ（める）・おさ（まる）
述,ジュツ,の（べる）
術,ジュツ,わざ
準,ジュン,-
序,ジョ,ついで
除,ジョ・ジ,のぞ（く）
承,ショウ,うけたまわ（る）
将,ショウ,-
小,ショウ,ちい（さい）・こ・お
少,ショウ,すく（ない）・すこ（し）
招,ショウ,まね（く）
証,ショウ,-
象,ショウ・ゾウ,-
常,ジョウ,つね・とこ
情,ジョウ・セイ,なさ（け）
条,ジョウ,-
状,ジョウ,-
織,シキ・ショク,お（る）
職,ショク,-
制,セイ,-
性,セイ・ショウ,-
政,セイ・ショウ,まつりごと
勢,セイ,いきお（い）
精,セイ・ショウ,-
製,セイ,-
税,ゼイ,-
責,セキ,せ（める）
績,セキ,-
接,セツ,つ（ぐ）
設,セツ,もう（ける）
舌,ゼツ,した
絶,ゼツ,た（える）・た（やす）・た（つ）
銭,セン,ぜに
祖,ソ,-
素,ソ・ス,-
総,ソウ,-
造,ゾウ,つく（る）
像,ゾウ,-
増,ゾウ,ま（す）・ま（える）
則,ソク,のっと（る）
測,ソク,はか（る）
属,ゾク,-
率,リツ・ソツ,ひき（いる）
損,ソン,そこ（なう）・そこ（ねる）
退,タイ,しりぞ（く）・しりぞ（ける）
貸,タイ,か（す）
態,タイ,-
団,ダン・トン,-
断,ダン,たつ・ことわ（る）
築,チク,きず（く）
張,チョウ,は（る）
提,テイ,さ（げる）
程,テイ,ほど
適,テキ,-
敵,テキ,かたき
統,トウ,す（べる）
導,ドウ,みちび（く）
銅,ドウ,-
徳,トク,-
独,ドク,ひと（り）
任,ニン,まか（せる）・まか（す）
燃,ネン,も（える）・も（やす）・も（す）
能,ノウ,-
破,ハ,やぶ（る）・やぶ（れる）
犯,ハン,おか（す）
判,ハン・バン,-
版,ハン,-
比,ヒ,くら（べる）
肥,ヒ,こ（える）・こ（え）・こ（やす）
非,ヒ,-
備,ビ,そな（える）・そな（わる）
評,ヒョウ,-
貧,ヒン・ビン,まず（しい）
布,フ,ぬの
婦,フ,-
富,フ・フウ,と（む）・とみ
武,ブ・ム,-
復,フク,-
複,フク,-
仏,ブツ,ほとけ
編,ヘン,あ（む）
弁,ベン,-
保,ホ,たも（つ）
墓,ボ,はか
報,ホウ,むく（いる）
豊,ホウ,ゆた（か）
暴,ボウ・バク,あば（れる）・あば（く）
貿,ボウ,-
防,ホウ,ふせ（ぐ）
務,ム,つと（める）
夢,ム,ゆめ
迷,メイ,まよ（う）
綿,メン,わた
輸,ユ,-
余,ヨ,あま（る）・あま（す）
預,ヨ,あず（ける）・あず（かる）
容,ヨウ,-
略,リャク,-
留,リュウ・ル,と（める）・と（まる）
領,リョウ,-
量,リョウ,はか（る）
輪,リン,わ
類,ルイ,-
令,レイ,-
冷,レイ,つめ（たい）・ひ（える）・ひ（やす）・さ（める）・さ（ます）
例,レイ,たと（える）
録,ロク,-
握,アク,にぎ（る）
依,イ・エ,-
威,イ,-
為,イ,な（す）
偉,イ,えら（い）
違,イ,ちが（う）・ちが（える）
維,イ,-
緯,イ,-
壱,イチ,-
芋,ウ,いも
陰,イン,かげ・かげ（る）
隠,イン,かく（す）・かく（れる）
影,エイ,かげ
鋭,エイ,するど（い）
越,エツ,こ（す）・こ（れる）
援,エン,-
煙,エン,けむり・けむ（る）
鉛,エン,なまり
縁,エン,ふち
オ,オウ,-
億,オク,-
憶,オク,-
菓,カ,-
暇,カ,ひま
箇,カ,-
過,カ,す（ぎる）・す（ごす）・あやま（ち）・あやま（る）
快,カイ,こころよ（い）
怪,カイ,あや（しい）・あや（しむ）
悔,カイ,く（いる）・くや（む）・くや（しい）
塊,カイ,かたまり
階,カイ,-
絵,カイ・エ,-
街,ガイ・カイ,まち
各,カク,おのおの
拡,カク,-
格,カク・コウ,-
確,カク,たしか・たし（かめる）
覚,カク,おぼ（える）・さ（ます）・さ（める）
較,カク,-
獲,カク,え（る）
革,カク,かわ
学,ガク,まな（ぶ）
岳,ガク,-
楽,ラク・ガク,たの（しい）・たの（しむ）
額,ガク,ひたい
掛,ケイ・カイ,か（ける）・か（かる）・がかり
甘,カン,あま（い）・あま（やかす）
汗,カン,あせ
乾,カン,かわ（く）・かわ（かす）
勧,カン,すす（める）
歓,カン,-
監,カン,-
鑑,カン,かんが（みる）
丸,ガン,まる・まる（い）
含,ガン,ふく（む）・ふく（める）
岸,ガン,きし
岩,ガン,いわ
顔,ガン,かお
汽,キ,-
記,キ,しる（す）
帰,キ,かえ（る）・かえ（す）
幾,キ,いく
祈,キ,いの（る）
輝,キ,かがや（く）
機,キ,はた
儀,キ,-
戯,ギ,たわむ（れる）
擬,ギ,-
詰,キツ,つ（める）・つ（まる）・つ（む）
却,キャク,-
脚,キャク・ギャク,あし
丘,キュウ,おか
巨,キョ,-
拠,キョ・コ,-
挙,キョ,あ（げる）・あ（がる）
虚,キョ・コ,-
距,キョ,-
駆,ク,か（ける）・か（る）
屈,クツ,-
掘,クツ,ほ（る）
繰,ソウ,く（る）
桑,ソウ,くわ
勲,クン,-
訓,クン,-
軍,グン,-
郡,グン,-
型,ケイ,かた
刑,ケイ,-
契,ケイ,ちぎ（る）
形,ケイ・ギョウ,かた・かたち
漢字,音読み,訓読み
径,ケイ,-
恵,ケイ・エ,めぐ（む）
啓,ケイ,-
掲,ケイ,かか（げる）
渓,ケイ,-
景,ケイ・キョウ,-
系,ケイ,-
経,ケイ・キョウ,へ（る）・たていと
継,ケイ,つ（ぐ）
傾,ケイ,かかむ（く）・かたむ（ける）
警,ケイ,-
軽,ケイ,かる（い）・かろ（やか）
芸,ゲイ,-
迎,ゲイ,むか（える）
劇,ゲキ,-
激,ゲキ,はげ（しい）
穴,ケツ,あな
結,ケツ,むす（ぶ）・ゆ（う）・ゆわ（える）
血,ケツ,ち
桁,コウ,けた
件,ケン,-
健,ケン,すこ（やか）
兼,ケン,か（ねる）
券,ケン,-
剣,ケン,つるぎ
圏,ケン,-
堅,ケン,かた（い）
嫌,ケン・ゲン,きら（う）・いや
建,ケン_コン,た（てる）・た（つ）
憲,ケン,-
懸,ケン・ケ,か（ける）・か（かる）
験,ケン,-
険,ケン,けわ（しい）
顕,ケン,あらわ（れる）
験,ケン,-
元,ゲン・ガン,もと
原,ゲン,はら
厳,ゲン,きび（しい）・おごそ（か）
幻,ゲン,まぼろし
弦,ゲン,つる
減,ゲン,へ（る）・へ（す）
源,ゲン,みなもと
玄,ゲン,-
現,ゲン,あらわ（れる）・あらわ（す）
言,ゲン・ゴン,い（う）・こと
限,ゲン,かぎ（る）
個,コ,-
古,コ,ふる（い）・ふる（す）
呼,コ,よ（ぶ）
固,コ,かた（まる）・かた（める）・かた（い）
孤,コ,-
己,コ・キ,おのれ
庫,コ・ク,-
弧,コ,-
戸,コ,と
故,コ,ゆえ
枯,コ,か（れる）・か（らす）
湖,コ,みずうみ
誇,コ,ほこ（る）
雇,コ,やと（う）
