一刀両断,いっとうりょうだん,物事をきっぱりと、速やかに思い切って解決すること,ウ（上の字が下の字を修飾）
意味深長,いみしんちょう,言葉や行動の奥に、非常に深い意味が隠されているさま,エ（下の字が上の字を修飾）
因果応報,いんがおうほう,過去の善悪の行為に応じて、必ず相応の報いがあること,ア（同じような意味の重ね）
慇懃無礼,いんぎんぶれい,表面は非常に丁寧だが、内心は横柄で見下していること,イ（反対・対応の組み合わせ）
引責辞任,いんせきじにん,自分の責任を認めて、自ら職を退くこと,ウ（上の字が下の字を修飾）
陰謀詭計,いんぼうきけい,人をだますための、密かな企みや悪賢い計画のこと,ア（同じような意味の重ね）
有為転変,ういてんぺん,この世のすべての物事は、激しく変化してとどまらないこと,イ（反対・対応の組み合わせ）
右往左往,うおうさおう,混乱してあっちへ行ったりこっちへ行ったり、うろたえること,イ（反対・対応の組み合わせ）
烏合之衆,うごうのしゅう,規律も統制もなく、ただ集まっただけの役に立たない群衆,ウ（上の字が下の字を修飾）
有象無象,うぞうむぞう,世の中にたくさんいる、たいして役に立たない平凡な人々のこと,イ（反対・対応の組み合わせ）
海千山千,うみせんやません,世間の裏表を経験し尽くして、非常に悪賢くなっていること,ア（同じような意味の重ね）
紆余曲折,うよきょくせつ,道が曲がりくねるように、事情が複雑で様々な苦労があること,ア（同じような意味の重ね）
雲散霧消,うんさんむしょう,雲や霧が消え去るように、物事が跡形もなく消えてなくなること,ア（同じような意味の重ね）
栄枯盛衰,えいこせいすい,人や国家の勢いが、栄えたり衰えたりを繰り返すこと,イ（反対・対応の組み合わせ）
応急処置,おうきゅうしょち,急な事態に対して、とりあえずその場しのぎで行う手当て,ウ（上の字が下の字を修飾）
黄金時代,おうごんじだい,最も栄えていて、全盛期を迎えている全盛の時期のこと,ウ（上の字が下の字を修飾）
横説縦説,おうせつじゅうせつ,自分の思う通りに、あれこれと盛んに弁論を展開すること,イ（反対・対応の組み合わせ）
大真面目,おおまじめ,冗談でなく、極めて本気で真剣な態度をとるさま,ウ（上の字が下の字を修飾）
温厚篤実,おんこうとくじつ,人柄が穏やかで温かく、誠実で情に厚いさま,ア（同じような意味の重ね）
温故知新,おんこちしん,昔の物事を研究して、そこから新しい知識や見解を得ること,エ（下の字が上の字を修飾）
佳人薄命,かじんはくめい,美人は幸薄く、または若くして病気などで死にやすいということ,エ（下の字が上の字を修飾）
花鳥風月,かちょうふうげつ,自然の美しい景色や、それを題材にして風流を楽しむこと,ア（同じような意味の重ね）
貨幣経済,かへいけいざい,お金（貨幣）を媒介として商品の売買を行う経済の仕組み,ウ（上の字が下の字を修飾）
我田引水,がでんいんすい,物事を自分の都合の良いように強引に進めること,エ（下の字が上の字を修飾）
画竜点睛,がりょうてんせい,物事を完成させるための、最後の最も重要な仕上げのたとえ,エ（下の字が上の字を修飾）
感概多端,かんがいたたん,深く心に感じることが多く、次々と湧き起こって尽きないさま,エ（下の字が上の字を修飾）
歓天喜地,かんてんきち,天に向かって喜び地に向かって楽しむほど、大喜びするさま,ア（同じような意味の重ね）
官民一体,かんみんいったい,政府（官）と民間が一つになって、物事に取り組むこと,イ（反対・対応の組み合わせ）
感無量,かんむりょう,胸がいっぱいになり、言葉に表せないほど深く感動すること,エ（下の字が上の字を修飾）
完全無欠,かんぜんむけつ,欠点や不足がまったくなく、完全に整っていること,ア（同じような意味の重ね）
危機一髪,ききいっぱつ,髪の毛一本ほどの差で、極めて危険な状態に陥りそうな瀬戸際,ウ（上の字が下の字を修飾）
起死回生,きしかいせい,絶望的な状況から勢いをもり返して、立派に立て直すこと,イ（反対・対応の組み合わせ）
旗幟鮮明,きしせんめい,自分の立場や態度、主張がはっきりしていて分かりやすいさま,エ（下の字が上の字を修飾）
喜怒哀楽,きどあいらく,人間が持つ様々な感情（喜び、怒り、悲しみ、楽しみ）の総称,イ（反対・対応の組み合わせ）
牛飲馬食,ぎゅういんばしょく,牛が水を飲み馬が草を食べるように、大量に飲食すること,ア（同じような意味の重ね）
九死一生,きゅうしいっしょう,絶望的な危険から、かろうじて助かること,イ（反対・対応の組み合わせ）
急転直下,きゅうてんちょっか,事態が急激に変化して、解決や結末に一向に向かうこと,ウ（上の字が下の字を修飾）
凶変急告,きょうへんきゅうこく,大変不吉な出来事や大事件を、大急ぎで知らせること,ウ（上の字が下の字を修飾）
奇利博捜,きりはくそう,普通では得られないような珍しい利益を、広く探し求めること,エ（下の字が上の字を修飾）
金科玉条,きんかぎょくじょう,自分が絶対的な拠り所として、最も大切に守るべき規則や信条,ア（同じような意味の重ね）
空中楼閣,くうちゅうろうかく,根拠がまったくなく、現実味のない計画や架空の物事,ウ（上の字が下の字を修飾）
空前絶後,くうぜんぜつご,過去にも例がなく、将来にも起こらないような珍しいこと,イ（反対・対応の組み合わせ）
空理空論,くうりくうろん,現実からかけ離れていて、実際の役にはまったく立たない理論,ア（同じような意味の重ね）
口頭試問,こうとうしもん,筆記ではなく、口頭での質問と応答によって行う試験のこと,ウ（上の字が下の字を修飾）
口頭発表,こうとうはっぴょう,文章を配るだけでなく、口頭で意見や研究結果を述べること,ウ（上の字が下の字を修飾）
軽挙妄動,けいきょもうどう,深く考えずに、軽はずみで軽率な行動をとること,ア（同じような意味の重ね）
軽佻浮薄,けいちょうふはく,考えや行動が軽々しく、落ち着きがなくて薄っぺらいさま,ア（同じような意味の重ね）
血気盛ん,けっきさかん,若くて活力にあふれ、元気や覇気が満ちあふれているさま,エ（下の字が上の字を修飾）
見学旅行,けんがくりょこう,実際の様子や施設を見て知識を深めるために行う旅のこと,ウ（上の字が下の字を修飾）
権謀術数,けんぼうじゅつすう,人を巧みにだますための、様々な策略や計略のこと,ア（同じような意味の重ね）
公明正大,こうめいせいだい,隠し事がなく公平で、少しも私心がなく正しいさま,ア（同じような意味の重ね）
広大無辺,こうだいむへん,幅広く果てしなく、どこまでも広く限りがないさま,ア（同じような意味の重ね）
厚生大事,こうせいだいじ,人々の生活を豊かにすることと、命を大切にすること,ア（同じような意味の重ね）
後生大事,ごしょうだいじ,物事を非常に大切にし、心を込めて守り維持すること,ウ（上の字が下の字を修飾）
古今東西,ここんとうざい,昔から今まで、そしてあらゆる場所。いつでもどこでも,イ（反対・対応の組み合わせ）
孤立無援,こりつむえん,仲間から切り離されて一人きりになり、助けてくれる人がいないこと,ア（同じような意味の重ね）
五里霧中,ごりむちゅう,霧の中で方向を見失うように、どうしてよいか迷って方針が立たないこと,ウ（上の字が下の字を修飾）
言語道断,ごんごどうだん,言葉で言い表せないほどあまりにひどいこと。もってのほか,エ（下の字が上の字を修飾）
再起不能,さいきふのう,一度衰えた状態から、二度と元の状態へ立ち直れないこと,ウ（上の字が下の字を修飾）
最大多数,さいだいたすう,ある集団や社会の中で、最も多くの割合を占める人数のこと,ウ（上の字が下の字を修飾）
才色兼備,さいしょくけんび,優れた才能と、美しい容姿の両方を兼ね備えている女性,ア（同じような意味の重ね）
三十六計,さんじゅうろっけい,窮地に陥ったときは、あれこれ考えず逃げるのが最善であること,ウ（上の字が下の字を修飾）
山紫水明,さんしすいめい,山や川の自然の景色が、透き通るように極めて美しいこと,ア（同じような意味の重ね）
賛成多数,さんせいたすう,会議などで、提案に賛成する人の数が過半数を超えていること,ウ（上の字が下の字を修飾）
斬新奇抜,ざんしんきばつ,物事の着想がこれまでにないほど新しく、独特で優れているさま,ア（同じような意味の重ね）
残念至極,ざんねんしごく,これ以上ないほどに、非常に心残りで悔しく思うさま,エ（下の字が上の字を修飾）
自画自賛,じがじさん,自分で自分のしたことや作品を、自ら褒め称えること,エ（下の字が上の字を修飾）
時期尚早,じきしょうそう,ある事を行うには、まだタイミングが早すぎて適していないこと,エ（下の字が上の字を修飾）
自給自足,じきゅうじそく,自分が必要とする物資を、すべて自分で生産して賄うこと,ア（同じような意味の重ね）
式典参列,しきてんさんれつ,公式に行われる儀式や催し物に、出席して席に連なること,ウ（上の字が下の字を修飾）
事実無根,じじつむこん,噂や話の根拠がまったくなく、事実ではないこと,エ（下の字が上の字を修飾）
自業自得,じごうじとく,自分の犯した悪事の悪い報いを、自分自身が受けること,エ（下の字が上の字を修飾）
自己暗示,じこあんじ,自分で自分の心に対して、ある特定の考えを植え付けること,ウ（上の字が下の字を修飾）
自己表現,じこひょうげん,自分の考えや個性を、芸術や行動などを通して外部に示すこと,ウ（上の字が下の字を修飾）
自己矛盾,じこむじゅん,自分自身の言動の辻褄が合わず、前後で食い違ってしまうこと,ウ（上の字が下の字を修飾）
自作自演,じさくじえん,自分で計画した企みを、あたかも他人が起こしたように見せること,ア（同じような意味の重ね）
意思表示,いしひょうじ,自分の内面の考えや決意を、言葉や態度で明確に示すこと,ウ（上の字が下の字を修飾）
自問自答,じもんじとう,他人に聞くのではなく、自分の心の中で問いかけ自分で答えること,イ（反対・対応の組み合わせ）
自由自在,じゆうじざい,自分の思い通りに、何の制限もなく行動できるさま,ア（同じような意味の重ね）
自由奔放,じゆうほんぽう,他人の目を気にせず、自分の思い通りにのびのびと行動するさま,ア（同じような意味の重ね）
主客転倒,しゅきゃくてんとう,物事の立場や重要性の順序が、あべこべに逆転してしまうこと,イ（反対・対応の組み合わせ）
首尾一貫,しゅびいっかん,方針や態度が、初めから終わりまで一貫してブレないこと,イ（反対・対応の組み合わせ）
取捨選択,しゅしゃせんたく,不要なものを捨て、必要なものだけを上手く選び取ること,イ（反対・対応の組み合わせ）
順風満帆,じゅんぷうまんぱん,物事が何の障害もなく、極めて順調に進行しているさま,ウ（上の字が下の字を修飾）
省エネ灯,しょうえねとう,エネルギーの消費を抑えるように作られた、効率の良い電灯,ウ（上の字が下の字を修飾）
生涯独身,しょうがいどくしん,生まれてから死ぬまで、一度も結婚せずに独りで過ごすこと,ウ（上の字が下の字を修飾）
正直一途,しょうじきいちず,嘘偽りがなく真面目で、一つのことにひたすら突き進むさま,ア（同じような意味の重ね）
精進潔斎,しょうじんけっさい,肉食を断ち、心と体を清めて神仏に祈る準備をすること,ア（同じような意味の重ね）
勝敗未決,しょうはいみけつ,戦いや試合の決着がまだついておらず、勝ち負けが不明なこと,エ（下の字が上の字を修飾）
情熱物語,じょうねつものがたり,熱い感情や強い思いが込められた、感動的な出来事の話,ウ（上の字が下の字を修飾）
初志貫徹,しょしかんてつ,最初に決めた志や目標を、最後まで変えずに貫き通すこと,エ（下の字が上の字を修飾）
諸説紛々,しょせつふんぷん,様々な意見や噂が飛び交い、どれが正しいかまとまらないさま,エ（下の字が上の字を修飾）
私利私欲,しりしよく,自分の利益や、自分だけの個人的な欲心を満たそうとすること,ア（同じような意味の重ね）
心機一転,しんきいってん,ある出来事をきっかけに、気持ちがすっかり良い方向に変わること,エ（下の字が上の字を修飾）
神気自若,しんきじじゃく,心が落ち着いていて、どんな状況でも少しも慌てないさま,エ（下の字が上の字を修飾）
尋常一様,じんじょういちよう,ごくありふれていて普通であり、他と変わった点がないさま,ア（同じような意味の重ね）
新進気鋭,しんしんきえい,その分野に新しく登場し、勢いが良く将来が期待されること,ア（同じような意味の重ね）
心身一如,しんしんいちにょ,心と体はバラバラではなく、本質的には一つのものであること,イ（反対・対応の組み合わせ）
身体検査,しんたいけんさ,健康状態や体格を調べるために、測定や診察を行うこと,ウ（上の字が下の字を修飾）
陣頭指揮,じんとうしき,指導者が自ら組織の先頭に立って、直接部下に命令を下すこと,ウ（上の字が下の字を修飾）
針小棒大,しんしょうぼうだい,物事を大げさに誇張して、実際よりも大きく言うことのたとえ,イ（反対・対応の組み合わせ）
親善大使,しんぜんたいし,国と国、地域と地域の友好関係を深めるために任命される人,ウ（上の字が下の字を修飾）
人物本位,じんぶつほんい,外見や学歴ではなく、その人の内面や人間性を基準にすること,ウ（上の字が下の字を修飾）
信用失墜,しんようしっつい,これまでに築き上げてきた、社会的な信頼をすっかり失うこと,エ（下の字が上の字を修飾）
親類縁者,しんるいえんじゃ,血のつながりがある親戚や、婚姻によってつながった身内のこと,ア（同じような意味の重ね）
心理作戦,しんりさくせん,武力ではなく、相手の心の隙を突いて有利に進めるための計画,ウ（上の字が下の字を修飾）
図画工作,ずがこうさく,小学校などの教科の一つで、絵画や工作を行う授業のこと,ア（同じような意味の重ね）
推敲校正,すいこうこうせい,文章を何度も練り直し、誤字や脱字を正しく直すこと,ア（同じような意味の重ね）
正々堂々,せいせいどうどう,態度が少しも卑怯でなく、正しく立派で潔いさま,ア（同じような意味の重ね）
晴耕雨読,せいこううどく,晴れた日は畑を耕し、雨の日は家で本を読む自由な生活,イ（反対・対応の組み合わせ）
製造停止,せいぞうていし,工場などでの製品の組み立てや生産を、全面的に止めること,エ（下の字が上の字を修飾）
是非善悪,ぜひぜんあく,正しいことと間違っていること。物事の善し悪しのこと,イ（反対・対応の組み合わせ）
切磋琢磨,せっさたくま,仲間同士が互いに励まし合い、競い合って実力を高めること,ア（同じような意味の重ね）
絶体絶命,ぜったいぜつめい,追い詰められて逃げ場がなく、どうしても切り抜けられない窮地,ア（同じような意味の重ね）
千客万来,せんきゃくばんらい,多くの客が次から次へとひっきりなしにやってくること,ア（同じような意味の重ね）
四字熟語,よみがな,意味説明,構成タイプ
千言万語,せんげんばんご,非常に数多くの言葉。あれこれと多くを語ること,ア（同じような意味の重ね）
千差万別,せんさばんべつ,種類や性質、様子などが、人や物によって様々に異なっていること,ア（同じような意味の重ね）
千客万来,せんきゃくばんらい,多くの客が次から次へとひっきりなしにやってくること,ア（同じような意味の重ね）
先手必勝,せんてひっしょう,相手よりも先に攻撃や行動を起こせば、必ず勝利を収められるということ,ウ（上の字が下の字を修飾）
千変万化,せんぺんばんか,物事の様子や状況が、様々な形に目まぐるしく変化すること,ア（同じような意味の重ね）
前途洋々,ぜんとようよう,今後の将来や進むべき道に、希望や明るい見通しが満ちあふれているさま,エ（下の字が上の字を修飾）
前後不覚,ぜんごふかく,物事の前後の状況が分からなくなるほど、正気を失って意識が乱れること,エ（下の字が上の字を修飾）
前代未聞,ぜんだいみもん,これまでに一度も聞いたことがないような、大変珍しく呆れた出来事,エ（下の字が上の字を修飾）
前途多難,ぜんとたなん,これから進む先や将来に、数多くの困難や障害が待ち受けていること,エ（下の字が上の字を修飾）
全知全能,ぜんちぜんのう,すべてのことを知り尽くし、すべてのことを行うことができる絶対的な能力,ア（同じような意味の重ね）
創意工夫,そういくふう,新しい独自の考えを出し、物事を上手く行うために様々な方法を練ること,ア（同じような意味の重ね）
総一不乱,そういつふらん,全体が一つの目標に向かって、少しも心を乱さずに団結して進むさま,エ（下の字が上の字を修飾）
粗衣粗食,そいそしょく,粗末な衣服と粗末な食事。飾り気のない質素でつつましい生活のたとえ,ア（同じような意味の重ね）
即位礼正,そくいれいせい,天皇などが位につく儀式を、正しく厳かに行うこと,ウ（上の字が下の字を修飾）
相乗効果,そうじょうこうか,複数の要素が合わさることで、単体以上の格段に大きな成果を生み出すこと,ウ（上の字が下の字を修飾）
束手無策,そくしゅむさく,手を縛られたように何の方法も思い浮かばず、ただ困り果てること,エ（下の字が上の字を修飾）
大器晩成,たいきばんせい,優れた人物は時間をかけて実力をつけ、後になって大成するというたとえ,エ（下の字が上の字を修飾）
大安吉日,たいあんきちじつ,暦の上で最も縁起が良く、何を行うにも最も良いとされる日,ア（同じような意味の重ね）
大喝一声,たいかついっせい,大声で一度激しく怒鳴りつけ、相手を厳しく叱り飛ばすこと,ウ（上の字が下の字を修飾）
大願成就,たいがんじょうじゅ,長い間心から願い続けていた大きな望みが、見事に叶うこと,エ（下の字が上の字を修飾）
大危機感,たいききかん,このままでは非常に危険であるという、極めて強い切迫した気持ち,ウ（上の字が下の字を修飾）
大義名分,たいぎめいぶん,行動を起こすにあたっての、誰もが納得する最もな理由や大義、根拠のこと,ア（同じような意味の重ね）
大軍突撃,たいぐんとつげき,数多くの大軍が一斉に、敵の陣営に向かって激しく攻め込むこと,ウ（上の字が下の字を修飾）
大言壮語,たいげんそうご,自分の実力以上の、大げさなことや威張った大きなことを言うこと,ア（同じような意味の重ね）
大公無私,たいこうむし,極めて公平で正しく、自分の個人的な利益や私心を一切挟まないこと,ア（同じような意味の重ね）
大事不変,だいじふへん,大きな事態が起きても、少しも状況や態度が変わらず動じないさま,エ（下の字が上の字を修飾）
大地震動,だいじしんどう,大きな地震が起きて、大地が激しく揺れ動くこと,エ（下の字が上の字を修飾）
大同小異,だいどうしょうい,細かい違いはあるものの、大体のところはほぼ同じであること,イ（反対・対応の組み合わせ）
泰然自若,たいぜんじじゃく,物事に少しも動じず、普段通り落ち着いていてゆったりしているさま,ア（同じような意味の重ね）
大人真面,たいにんまじめ,責任ある立場の大人として、極めて本気で真剣な態度をとるさま,ウ（上の字が下の字を修飾）
大量生産,たいりょうせいさん,同じ製品を、工場などで一度に非常に数多く組み立てて作ること,ウ（上の字が下の字を修飾）
多種多様,たしゅたよう,種類や状態が数多くあり、それぞれが様々に異なっていること,ア（同じような意味の重ね）
多数賛成,たすうさんせい,会議などで、過半数を大きく超える多くの人が提案に賛同すること,ウ（上の字が下の字を修飾）
他力本願,たりきほんがん,自分の力ではなく、他人の実力や援助を当てにして頼りきること,ウ（上の字が下の字を修飾）
多事多難,たじたなん,事件や困難な出来事が次々と重なり、悩みや苦労が多いさま,ア（同じような意味の重ね）
断固拒絶,だんこきょぜつ,相手の要求や提案を、強い態度でキッパリとはねつけて断ること,ウ（上の字が下の字を修飾）
端正美麗,たんせいびれい,顔立ちや姿の形が正しく整っており、非常に美しいさま,ア（同じような意味の重ね）
短小軽薄,たんしょうけいはく,物が小さく軽いこと、または人の考えが浅く薄っぺらいこと,イ（反対・対応の組み合わせ）
短刀直入,たんとうちょくにゅう,前置きや遠回りをせず、いきなり本題の核心に入ること,ウ（上の字が下の字を修飾）
男尊女卑,だんそんじょひ,男性を尊重し、女性を不当に低く見下して扱う古い偏った考え方,イ（反対・対応の組み合わせ）
単身赴任,たんしんふにん,家族と離れて、自分一人だけで新しい別の勤務地へ赴くこと,ウ（上の字が下の字を修飾）
地方新聞,ちほうしんぶん,全国一斉ではなく、特定の限られた地域に向けて発行される新聞,ウ（上の字が下の字を修飾）
池魚之災,ちぎょのさい,自分には全く関係のないところで起きた災難に、巻き込まれて害を受けること,ウ（上の字が下の字を修飾）
地産地消,ちさんちしょう,地域で生産された農産物を、その地域の中で消費すること,エ（下の字が上の字を修飾）
遅疑不決,ちぎふけつ,あれこれと疑い迷って、なかなか物事を決断できないこと,エ（下の字が上の字を修飾）
地道一途,じみちいちず,派手さはないが真面目で、一つのことにひたすら突き進むさま,ア（同じような意味の重ね）
注目集中,ちゅうもくしゅうちゅう,周囲の人々の視線や関心が、一つの物事に一斉に集まること,エ（下の字が上の字を修飾）
注意一秒,ちゅういいちびょう,ほんの一瞬の不注意が、取り返しのつかない大事故につながるという戒め,ウ（上の字が下の字を修飾）
長安日遠,ちょうあんにちえん,目で見える太陽よりも、遠く離れた首都（長安）の方が遠く感じられること,エ（下の字が上の字を修飾）
朝令暮改,ちょうれいぼかい,法令や命令が次々と変更されて定まらず、あてにならないこと,イ（反対・対応の組み合わせ）
直下急転,ちょっかきゅうてん,事態が真下に向かって落ちるように、急激に悪い方向へ変わること,ウ（上の字が下の字を修飾）
貯金通帳,ちょきんつうちょう,銀行などに預けたお金の出入りを、記録しておくための冊子のこと,ウ（上の字が下の字を修飾）
猪突猛進,ちょとつもうしん,周囲の状況を考えず、一つの目標に向かって猛烈に突き進むこと,ウ（上の字が下の字を修飾）
珍味佳肴,ちんみかこう,めったに食べられないような、非常に美味しく立派なごちそうのこと,ア（同じような意味の重ね）
通達停止,つうたつていし,上部から下部への、公式な命令や通知の伝達を全面的に止めること,エ（下の字が上の字を修飾）
通信販売,つうしんはんばい,店に行かず、郵便やインターネットを使って商品を購入する仕組み,ウ（上の字が下の字を修飾）
徹底究明,てっていきゅうめい,物事の原因や真相を、隅々まで厳しく調べて明らかにすること,ウ（上の字が下の字を修飾）
徹底的抗,てっていてきこう,妥協することなく、最後まで全力で相手に立ち向かって逆らうこと,ウ（上の字が下の字を修飾）
敵前逃亡,てきぜんとうぼう,目の前に敵が迫っている状況で、任務を捨てて勝手に逃げ出すこと,ウ（上の字が下の字を修飾）
的材的所,てきざいてきしょ,その人の才能や実力に適した地位や任務に配置すること,ウ（上の字が下の字を修飾）
鉄道交差,てつどうこうさ,線路と線路、または線路と道路が、交わって交差している場所,ウ（上の字が下の字を修飾）
徹頭徹尾,てっとうてつび,最初から最後まで、方針や考えが一貫してブレずに突き通すさま,イ（反対・対応の組み合わせ）
天衣無縫,てんいむほう,詩や文章が自然で美しいこと。また、人柄が純真で無邪気なこと,ウ（上の字が下の字を修飾）
天真爛漫,てんしんらんまん,心に嘘偽りや飾りがなく、生まれたままの無邪気さがあふれているさま,ア（同じような意味の重ね）
天地神明,てんちしんめい,この世のすべての神々のこと。神に誓って嘘を言わないときに用いる,ア（同じような意味の重ね）
点滴穿石,てんてきせんせき,小さな水滴でも、長く落ち続ければ硬い石に穴をあけられるというたとえ,エ（下の字が上の字を修飾）
伝統工芸,でんとうこうげい,古くから特定の地域で受け継がれてきた、高度な技術による手作りの品,ウ（上の字が下の字を修飾）
動静不明,どうせいふめい,相手が今どこで何をしているのか、様子がまったく分からない状態,エ（下の字が上の字を修飾）
同一人物,どういつじんぶつ,別人のように見えるが、実際にはまったく同じその人のこと,ウ（上の字が下の字を修飾）
同時進行,どうじしんこう,複数の出来事や作業が、同じタイミングで一緒に進んでいくこと,ウ（上の字が下の字を修飾）
東奔西走,とうほんせいそう,仕事や目的のために、あっちへこっちへ忙しく駆け回ること,イ（反対・対応の組み合わせ）
独立不羈,どくりつふき,他人の力に頼ったり束縛されたりせず、自分の力で自由に進むこと,ア（同じような意味の重ね）
都市計画,としけいかく,街を住みやすくするために、道路や建物の配置を事前に決める計画,ウ（上の字が下の字を修飾）
突撃敢行,とつげきかんこう,危険を恐れずに、敵陣に向かって勢いよく攻め込むことを決行すること,エ（下の字が上の字を修飾）
突然変異,とつぜんへんい,親の世代にはなかった特徴が、子孫の代に急に現れる現象のこと,ウ（上の字が下の字を修飾）
内外一致,ないがいいっち,国内の世論と外国への態度、または心の中と外の言動が一致すること,イ（反対・対応の組み合わせ）
内憂外患,ないゆうがいかん,組織の内部にある悩みと、外部から迫る脅威や心配事の両方があること,イ（反対・対応の組み合わせ）
南船北馬,なんせんほくば,中国の南は船、北は馬で旅をしたことから、年中忙しく旅を続けること,イ（反対・対応の組み合わせ）
南蛮貿易,なんばんぼうえき,室町時代から江戸時代にかけて、ポルトガルやスペインなどの国と行った取引,ウ（上の字が下の字を修飾）
日常茶飯,にちじょうさはん,毎日の食事のように、ごくありふれた普通の出来事のこと,ウ（上の字が下の字を修飾）
日光消毒,にっこうしょうどく,太陽の強い光（紫外線）に当てることで、バイキンを殺して清潔にすること,ウ（上の字が下の字を修飾）
日知月行,にっちげつこう,毎日毎月、絶え間なく学問や実力が進歩していくこと,ア（同じような意味の重ね）
年中行事,ねんじゅうぎょうじ,毎年特定の時期に、決まって行われる伝統的なお祭りや儀式のこと,ウ（上の字が下の字を修飾）
熱血物語,ねっけつものがたり,熱い感情や強い正義感を持った主人公が、大活躍する感動的な話,ウ（上の字が下の字を修飾）
能動活動,のうどうかつどう,他人から言われてやるのではなく、自ら進んで活発に動くこと,ウ（上の字が下の字を修飾）
農村地帯,のうそんちたい,都会ではなく、農業を行う家や田畑が多く集まっている地域のこと,ウ（上の字が下の字を修飾）
四字熟語,よみがな,意味説明,構成タイプ
博覧強記,はくらんきょうき,広く数多くの本を読み、様々な物事をよく記憶していること,ア（同じような意味の重ね）
薄利多売,はくりたばい,商品の利益を薄くする代わりに、大量に売って全体の利益を上げること,イ（反対・対応の組み合わせ）
馬耳東風,ばじとうふう,他人の意見や批判を、心に留めず聞き流すこと。ぬかに釘,エ（下の字が上の字を修飾）
八方美人,はっぽうびじん,誰からも好かれようと、誰に対しても愛想よく振る舞う人のこと,ウ（上の字が下の字を修飾）
波乱万丈,はらんばんじょう,劇的な変化や劇的な出来事が次々と起き、変化が非常に激しいさま,ア（同じような意味の重ね）
万事休す,ばんじきゅうす,すべての手段を使い果たし、これ以上どうしようもない絶望的な状態,エ（下の字が上の字を修飾）
万能選手,ばんのうせんしゅ,一つの競技だけでなく、あらゆる種目や役割を器用にこなす選手,ウ（上の字が下の字を修飾）
美衣美食,びいびしょく,贅沢で美しい衣服を身にまとい、贅沢で美味しい食事をとること,ア（同じような意味の重ね）
悲喜交交,ひきこもごも,悲しみと喜びの二つの感情が、代わる代わる交互に湧き起こる状態,イ（反対・対応の組み合わせ）
美術工芸,びじゅつこうげい,美しさを追求した絵画や、高度な技術で作られた手細工の品物,ア（同じような意味の重ね）
